libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Saint-Aubin-des-Châteaux,Châteaubriant,1765,"47,56",Droite,"13,9",LE PEN,MACRON,MÉLENCHON,MACRON,"64,37",Fusilles
Saint-Brevin-les-Pins,Saint-Brévin-les-Pins,13492,"19,29",Centre,"15,89",MACRON,FILLON,MÉLENCHON,MACRON,"74,14",Pins
Saint-Colomban,Saint-Philbert-de-Grand-Lieu,3316,"35,72",Centre,"12,67",MACRON,LE PEN,FILLON,MACRON,"66,6",VacheNantaise
Corcoué-sur-Logne,Saint-Philbert-de-Grand-Lieu,2825,"50,39",Centre,"16,16",MACRON,MÉLENCHON,FILLON,MACRON,"67,29",VacheNantaise
Saint-Etienne-de-Mer-Morte,Machecoul,1680,"27,33",Droite,"18,4",FILLON,LE PEN,MACRON,MACRON,"61,53",Foret
Saint-Etienne-de-Montluc,Blain,6840,"57,57",Centre,"13,74",MACRON,FILLON,MÉLENCHON,MACRON,"77,74",Centrale
Saint-Fiacre-sur-Maine,Vertou,1164,"5,97",Centre,"11,57",MACRON,MÉLENCHON,FILLON,MACRON,"82,8",Vignes
Saint-Géréon,Ancenis,2893,"7,51",Centre,"12,57",MACRON,FILLON,MÉLENCHON,MACRON,"78,44",Chateau
Saint-Gildas-des-Bois,Pont-Château,3751,"33,42",Centre,"13,28",MACRON,LE PEN,FILLON,MACRON,"66,82",VacheNantaise
Saint-Herblain,Saint-Herblain,45786,"30,02",Centre,"19,05",MACRON,MÉLENCHON,FILLON,MACRON,"81,64",Zenith
Vair-sur-Loire,Ancenis,4764,"51,73",Centre,"13,43",MACRON,LE PEN,FILLON,MACRON,"68,88",Chateau
Saint-Hilaire-de-Chaléons,Machecoul,2235,"34,98",Centre,"15,26",MACRON,MÉLENCHON,FILLON,MACRON,"69,51",Foret
Saint-Hilaire-de-Clisson,Clisson,2222,"18,43",Centre,"11,46",MACRON,MÉLENCHON,FILLON,MACRON,"76,71",Helfest
Saint-Jean-de-Boiseau,Saint-Brévin-les-Pins,5566,"11,4",Gauche,"13,72",MÉLENCHON,MACRON,LE PEN,MACRON,"75,17",Pins
Saint-Joachim,Guérande,3934,"86,22",Gauche,"18,5",MÉLENCHON,MACRON,LE PEN,MACRON,"60,88",Sel
Saint-Julien-de-Concelles,Vallet,6860,"31,74",Centre,"14,32",MACRON,FILLON,MÉLENCHON,MACRON,"78,92",Zoo
Saint-Julien-de-Vouvantes,Châteaubriant,968,"25,6",Droite,"14,33",FILLON,LE PEN,MACRON,MACRON,"53,28",Fusilles
Saint-Léger-les-Vignes,Rezé,1708,"6,49",Centre,"9,63",MACRON,MÉLENCHON,FILLON,MACRON,"74,7",Avion
Sainte-Luce-sur-Loire,Carquefou,15172,"11,45",Centre,"11,54",MACRON,MÉLENCHON,FILLON,MACRON,"82,73",Stade
Saint-Lumine-de-Clisson,Clisson,2118,"18,46",Centre,"13,96",MACRON,MÉLENCHON,FILLON,MACRON,"73,45",Helfest
Saint-Lumine-de-Coutais,Saint-Philbert-de-Grand-Lieu,2114,"17,64",Droite,"12,38",LE PEN,MACRON,FILLON,MACRON,"61,87",VacheNantaise
Saint-Lyphard,Guérande,4627,"24,63",Centre,"10,84",MACRON,FILLON,MÉLENCHON,MACRON,"67,13",Sel
